card_id,account_id,card_number,card_type,issued_date,expiry_date,status
CARD001,ACC001,4111111111111111,DEBIT,2020-02-01,2024-02-01,ACTIVE
CARD002,ACC002,4111111111111129,DEBIT,2019-07-01,2023-07-01,ACTIVE
CARD003,ACC003,4111111111111137,DEBIT,2021-04-01,2025-04-01,BLOCKED
CARD004,ACC004,5500000000000004,CREDIT,2018-12-01,2022-12-01,EXPIRED
CARD005,ACC005,5500000000000012,CREDIT,2020-08-01,2024-08-01,ACTIVE
CARD006,ACC006,5500000000000020,DEBIT,2019-10-01,2023-10-01,CLOSED
CARD007,ACC007,4111111111111145,DEBIT,2021-03-01,2025-03-01,ACTIVE
CARD008,ACC008,5500000000000038,CREDIT,2022-02-01,2026-02-01,ACTIVE
CARD009,ACC009,4111111111111152,DEBIT,2017-09-01,2021-09-01,EXPIRED
CARD010,ACC010,5500000000000046,CREDIT,2020-12-31,2024-12-31,ACTIVE
